Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
BERTAM ALLIANCE BERHAD,PROPERTY ,BERTAM (9814),MAIN,9814,51.69m,206.76m,-1.76 *,-,-1.98
BERJAYA ASSETS BERHAD,PROPERTY ,BJASSET (3239),MAIN,3239,780.24m,2.558b,-1.15 *,-,-1.26
COUNTRY HEIGHTS HOLDINGS BHD,PROPERTY ,CHHB (5738),MAIN,5738,410.80m,275.71m,31.47 *,4.73,10.06
CRESCENDO CORPORATION BERHAD,PROPERTY ,CRESNDO (6718),MAIN,6718,350.58m,280.46m,15.44 *,8.1,4.78
COUNTRY VIEW BERHAD,PROPERTY ,CVIEW (5049),MAIN,5049,145.00m,100.00m,74.93 *,1.94,19.07
DAMANSARA REALTY BHD,PROPERTY ,DBHD (3484),MAIN,3484,140.08m,318.37m,6.49 *,6.78,12.02
DPS RESOURCES BERHAD,PROPERTY ,DPS (7198),MAIN,7198,38.21m,587.77m,-0.37 *,-,-1.85
EASTERN & ORIENTAL BERHAD,PROPERTY ,E&O (3417),MAIN,3417,1.187b,1.457b,4.28 *,19.04,3.06
ECOFIRST CONSOLIDATED BHD,PROPERTY ,ECOFIRS (3557),MAIN,3557,240.95m,803.16m,3.05 *,9.84,7.48
ECO WORLD DEVELOPMENT GROUP BERHAD,PROPERTY ,ECOWLD (8206),MAIN,8206,2.355b,2.944b,6.06 *,13.2,4.07
ENCORP BERHAD,PROPERTY ,ENCORP (6076),MAIN,6076,99.60m,306.47m,-2.96 *,-,-2.19
ENRA GROUP BERHAD,PROPERTY ,ENRA (8613),MAIN,8613,185.24m,136.21m,-18.01 *,-,-19.79
EUPE CORPORATION BERHAD,PROPERTY ,EUPE (6815),MAIN,6815,85.76m,128.00m,23.67 *,2.83,9.47
EWEIN BERHAD,PROPERTY ,EWEIN (7249),MAIN,7249,212.62m,301.59m,14.33 *,4.92,17.91
ECO WORLD INTERNATIONAL BERHAD,PROPERTY ,EWINT (5283),MAIN,5283,1.584b,2.400b,3.80 *,17.37,3.65
FARLIM GROUP (MALAYSIA) BHD,PROPERTY ,FARLIM (6041),MAIN,6041,57.25m,168.39m,-0.34 *,-,-0.33
GLOMAC BERHAD,PROPERTY ,GLOMAC (5020),MAIN,5020,304.03m,800.09m,1.70 *,22.35,1.21
GROMUTUAL BERHAD,PROPERTY ,GMUTUAL (9962),MAIN,9962,101.41m,375.61m,1.70 *,15.88,1.83
GLOBAL ORIENTAL BERHAD,PROPERTY ,GOB (1147),MAIN,1147,75.02m,454.68m,-21.41 *,-,-34.53
GSB GROUP BERHAD,PROPERTY ,GSB (7077),MAIN,7077,102.20m,552.44m,-0.37 *,-,-3.66
GUOCOLAND (MALAYSIA) BERHAD,PROPERTY ,GUOCO (1503),MAIN,1503,490.32m,700.46m,-5.90 *,-,-3.04
HCK CAPITAL GROUP BERHAD,PROPERTY ,HCK (7105),MAIN,7105,519.40m,422.28m,1.57 *,78.34,3.34
GRAND HOOVER BERHAD,PROPERTY ,HOOVER (7010),MAIN,7010,24.00m,40.00m,-4.88 *,-,-4.32
HUA YANG BERHAD,PROPERTY ,HUAYANG (5062),MAIN,5062,154.88m,352.00m,-5.82 *,-,-3.49
I-BERHAD,PROPERTY ,IBHD (4251),MAIN,4251,365.14m,1.014b,4.02 *,8.96,4.14
IBRACO BERHAD,PROPERTY ,IBRACO (5084),MAIN,5084,337.56m,496.41m,6.27 *,10.85,8.93
IDEAL UNITED BINTANG INTERNATIONAL BERHAD,PROPERTY ,IDEAL (9687),MAIN,9687,616.53m,463.56m,10.45 *,12.73,7.29
IGB BERHAD,PROPERTY ,IGBB (5606),MAIN,5606,1.924b,689.57m,36.40 *,7.66,7.12
IOI PROPERTIES GROUP BERHAD,PROPERTY ,IOIPG (5249),MAIN,5249,7.598b,5.506b,14.28 *,9.66,4.22
IVORY PROPERTIES GROUP BERHAD,PROPERTY ,IVORY (5175),MAIN,5175,100.47m,490.08m,0.10 *,205,0.12
ISKANDAR WATERFRONT CITY BERHAD,PROPERTY ,IWCITY (1589),MAIN,1589,837.39m,837.39m,-,-,-
JIANKUN INTERNATIONAL BERHAD,PROPERTY ,JIANKUN (8923),MAIN,8923,54.22m,166.85m,1.24 *,26.21,4
JKG LAND BERHAD,PROPERTY ,JKGLAND (6769),MAIN,6769,181.99m,2.275b,0.10 *,80,0.5
KARAMBUNAI CORP BHD,PROPERTY ,KBUNAI (3115),MAIN,3115,548.78m,5.777b,0.16 *,59.38,1.07
KEN HOLDINGS BERHAD,PROPERTY ,KEN (7323),MAIN,7323,117.91m,191.72m,11.53 *,5.33,6.44
KSL HOLDINGS BERHAD,PROPERTY ,KSL (5038),MAIN,5038,830.01m,1.038b,20.89 *,3.83,7.46
LAND & GENERAL BERHAD,PROPERTY ,L&G (3174),MAIN,3174,475.70m,2.973b,1.30 *,12.31,3.52
